customer_id,customer_name,customer_type,region_id,size_band
C00001,"Lall, Tella and Gokhale",Rental,R01,Small
C00002,"Cherian, Misra and Tripathi",Contractor,R05,Small
C00003,"Issac, Dua and Prakash",Fleet,R03,Medium
C00004,Zacharia PLC,Fleet,R03,Small
C00005,Naik Group,Fleet,R04,Small
C00006,Choudhury LLC,Fleet,R04,Small
C00007,Khatri-Bhardwaj,Contractor,R01,Medium
C00008,Brar Inc,Contractor,R04,Small
C00009,"Sunder, Biswas and Walia",Rental,R02,Medium
C00010,Dave Ltd,Contractor,R04,Small
C00011,Gandhi-Lanka,Fleet,R05,Small
C00012,"Sampath, Kakar and Zacharia",Contractor,R05,Small
C00013,"Iyer, Muni and Rastogi",Government,R03,Medium
C00014,"Prakash, Sarma and Varughese",Contractor,R03,Small
C00015,Dara-Kota,Government,R01,Small
C00016,Bhatt LLC,Contractor,R05,Small
C00017,Karpe PLC,Contractor,R02,Medium
C00018,Amble Inc,Contractor,R03,Small
C00019,"Bhargava, Karnik and Bir",Fleet,R02,Small
C00020,Narayanan Inc,Fleet,R01,Small
C00021,"Khanna, Mallick and Sunder",Fleet,R04,Small
C00022,Zacharia and Sons,Contractor,R01,Medium
C00023,"Solanki, Kibe and Solanki",Fleet,R05,Medium
C00024,Gupta-Chandra,Contractor,R02,Small
C00025,Sankar LLC,Rental,R01,Small
C00026,Roy-Sibal,Fleet,R03,Small
C00027,"Bhagat, Chaudhari and Bhat",Contractor,R01,Small
C00028,Nori-Chopra,Government,R02,Small
C00029,Handa and Sons,Fleet,R04,Medium
C00030,"Sen, Dey and Sami",Fleet,R01,Large
C00031,Mallick Group,Fleet,R05,Large
C00032,Borra Group,Fleet,R01,Medium
C00033,"Chaudhari, Bedi and Zachariah",Rental,R02,Medium
C00034,Chander and Sons,Government,R05,Medium
C00035,Ray Group,Contractor,R02,Small
C00036,Kala-Rattan,Rental,R01,Medium
C00037,Gala Group,Government,R02,Small
C00038,Ramakrishnan LLC,Fleet,R02,Small
C00039,Mangal-Sampath,Rental,R05,Medium
C00040,"Sur, Dubey and Gupta",Contractor,R02,Small
C00041,Kalla-Bhardwaj,Government,R05,Small
C00042,"Bhat, Murthy and Bhandari",Rental,R05,Large
C00043,Sood PLC,Fleet,R03,Small
C00044,"Dugar, Bhandari and Trivedi",Fleet,R06,Small
C00045,Grewal Inc,Fleet,R02,Large
C00046,"Bir, Keer and Raval",Contractor,R06,Medium
C00047,Koshy PLC,Government,R01,Small
C00048,"Baral, Bumb and Saini",Rental,R04,Small
C00049,"Virk, Mutti and Lal",Fleet,R03,Small
C00050,Murthy and Sons,Contractor,R03,Medium
C00051,Randhawa-Deep,Contractor,R04,Medium
C00052,"Mital, Shankar and Mutti",Fleet,R04,Small
C00053,Andra Group,Fleet,R01,Small
C00054,"Chaudhry, Borah and Yogi",Fleet,R01,Small
C00055,Toor LLC,Rental,R04,Large
C00056,Palla Inc,Fleet,R04,Small
C00057,Pingle LLC,Contractor,R06,Medium
C00058,Sarma PLC,Contractor,R05,Small
C00059,"Mittal, Wadhwa and Anand",Contractor,R06,Medium
C00060,"Mistry, Chawla and Desai",Rental,R04,Large
C00061,D’Alia-Chhabra,Rental,R02,Medium
C00062,"Dugal, Magar and Manda",Fleet,R01,Small
C00063,"Kade, Oza and Jani",Contractor,R05,Medium
C00064,"Lalla, Tiwari and Suresh",Fleet,R04,Medium
C00065,Behl-Chanda,Fleet,R01,Small
C00066,"Sampath, Malhotra and Basu",Fleet,R02,Medium
C00067,Nath and Sons,Contractor,R06,Medium
C00068,"Lala, Edwin and Sathe",Contractor,R03,Medium
C00069,"Sane, Andra and Choudhury",Fleet,R03,Medium
C00070,Dixit PLC,Fleet,R03,Small
C00071,Pingle PLC,Rental,R02,Small
C00072,"Divan, Sani and Datta",Fleet,R02,Small
C00073,Morar LLC,Fleet,R02,Large
C00074,Parmar and Sons,Contractor,R01,Medium
C00075,"Krish, Chauhan and Pandya",Rental,R05,Medium
C00076,"Ray, Dubey and Khalsa",Fleet,R03,Small
C00077,Goel Group,Contractor,R05,Small
C00078,Gola Ltd,Government,R05,Medium
C00079,Sabharwal-Kothari,Fleet,R02,Small
C00080,Dutta-Chokshi,Contractor,R04,Small
C00081,Barad-Singhal,Contractor,R03,Medium
C00082,Iyengar Group,Contractor,R05,Small
C00083,Mody-Kari,Contractor,R02,Small
C00084,Bajwa Ltd,Contractor,R04,Small
C00085,Rastogi LLC,Fleet,R04,Small
C00086,Boase-Mallick,Government,R02,Large
C00087,Upadhyay-Ratta,Fleet,R01,Small
C00088,"Yadav, Narula and Bala",Fleet,R04,Small
C00089,Lal and Sons,Fleet,R05,Small
C00090,"Lanka, Barad and Chopra",Contractor,R02,Medium
