feedback_id,service_job_id,customer_id,service_date,csat_score,nps_score,nps_group,complaint_reason,is_stockout_impacted,is_emergency,downtime_days,job_type,resolution_status
FB0000001,SJ0000001,C00876,2023-01-06,3,6,Detractor,Repeat issue,0,0,2,Breakdown,Repeat
FB0000002,SJ0000008,C01373,2023-01-23,5,10,Promoter,Satisfied,0,0,0,Inspection,Fixed
FB0000003,SJ0000010,C01277,2023-02-03,2,6,Detractor,High downtime,0,0,5,Breakdown,Repeat
FB0000004,SJ0000020,C02478,2023-02-09,5,10,Promoter,Satisfied,0,0,0,Inspection,Fixed
FB0000005,SJ0000024,C00612,2023-02-12,2,5,Detractor,Repeat issue,0,1,3,Breakdown,Repeat
FB0000006,SJ0000025,C00378,2023-02-13,3,7,Passive,Repeat issue,0,0,2,Breakdown,Repeat
FB0000007,SJ0000031,C01544,2023-02-17,3,8,Passive,Unexpected breakdown,0,0,1,Breakdown,Fixed
FB0000008,SJ0000032,C02478,2023-02-20,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000009,SJ0000033,C00275,2023-02-21,4,8,Passive,Satisfied,0,1,2,Breakdown,Fixed
FB0000010,SJ0000043,C02346,2023-02-27,4,9,Promoter,Satisfied,0,0,3,Breakdown,Fixed
FB0000011,SJ0000045,C00275,2023-03-03,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000012,SJ0000046,C00865,2023-03-03,5,10,Promoter,Satisfied,0,0,1,Preventive,Fixed
FB0000013,SJ0000049,C01473,2023-03-07,3,7,Passive,High downtime,0,0,7,Breakdown,Fixed
FB0000014,SJ0000050,C00982,2023-03-08,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000015,SJ0000052,C01305,2023-03-10,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000016,SJ0000053,C00618,2023-03-10,3,7,Passive,High downtime,0,0,5,Breakdown,Repeat
FB0000017,SJ0000058,C01601,2023-03-17,3,7,Passive,Unexpected breakdown,0,0,3,Breakdown,Fixed
FB0000018,SJ0000059,C00911,2023-03-17,4,8,Passive,Satisfied,0,0,5,Breakdown,Fixed
FB0000019,SJ0000063,C00876,2023-03-18,2,6,Detractor,High downtime,0,0,5,Breakdown,Repeat
FB0000020,SJ0000065,C01262,2023-03-21,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000021,SJ0000067,C00378,2023-03-22,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000022,SJ0000069,C01544,2023-03-24,4,8,Passive,Satisfied,0,0,1,Breakdown,Fixed
FB0000023,SJ0000075,C00917,2023-03-31,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000024,SJ0000077,C01208,2023-03-31,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000025,SJ0000078,C01507,2023-04-01,4,8,Passive,Satisfied,0,0,2,Breakdown,Fixed
FB0000026,SJ0000079,C01601,2023-04-03,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000027,SJ0000081,C01136,2023-04-05,3,6,Detractor,Repeat issue,0,0,2,Breakdown,Repeat
FB0000028,SJ0000094,C00039,2023-04-09,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000029,SJ0000095,C00359,2023-04-10,4,9,Promoter,Satisfied,0,0,4,Breakdown,Fixed
FB0000030,SJ0000096,C01136,2023-04-11,5,10,Promoter,Satisfied,0,0,1,Preventive,Fixed
FB0000031,SJ0000097,C01423,2023-04-11,4,8,Passive,Satisfied,0,0,5,Breakdown,Fixed
FB0000032,SJ0000098,C01280,2023-04-11,5,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000033,SJ0000104,C01218,2023-04-15,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000034,SJ0000112,C00799,2023-04-19,3,6,Detractor,Repeat issue,0,0,3,Breakdown,Repeat
FB0000035,SJ0000113,C00425,2023-04-19,4,9,Promoter,Satisfied,0,0,1,Breakdown,Fixed
FB0000036,SJ0000114,C00125,2023-04-19,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000037,SJ0000115,C01730,2023-04-19,4,8,Passive,Satisfied,0,0,4,Breakdown,Fixed
FB0000038,SJ0000118,C01414,2023-04-20,3,7,Passive,Emergency order,0,1,3,Breakdown,Fixed
FB0000039,SJ0000129,C00973,2023-04-24,5,10,Promoter,Satisfied,0,0,0,Inspection,Fixed
FB0000040,SJ0000131,C01999,2023-04-24,3,7,Passive,Repeat issue,0,0,1,Breakdown,Repeat
FB0000041,SJ0000135,C02429,2023-04-26,5,9,Promoter,Satisfied,0,0,2,Breakdown,Fixed
FB0000042,SJ0000136,C00155,2023-04-27,3,8,Passive,Repeat issue,0,0,1,Breakdown,Repeat
FB0000043,SJ0000140,C00640,2023-04-29,3,7,Passive,Unexpected breakdown,0,0,1,Breakdown,Fixed
FB0000044,SJ0000143,C00612,2023-04-29,5,10,Promoter,Satisfied,0,0,2,Breakdown,Fixed
FB0000045,SJ0000145,C02160,2023-04-30,4,8,Passive,Satisfied,0,0,5,Breakdown,Fixed
FB0000046,SJ0000148,C00483,2023-05-01,4,8,Passive,Satisfied,0,0,3,Breakdown,Fixed
FB0000047,SJ0000153,C00529,2023-05-02,5,10,Promoter,Satisfied,0,0,2,Breakdown,Fixed
FB0000048,SJ0000154,C00702,2023-05-02,5,10,Promoter,Satisfied,0,0,0,Preventive,Fixed
FB0000049,SJ0000156,C00059,2023-05-03,2,6,Detractor,Repeat issue,0,0,2,Breakdown,Repeat
