parts_line_id,service_job_id,part_id,quantity,sale_date,dealer_id,region_id,revenue_inr,cost_inr,is_emergency_order
PL00000001,SJ0000001,P0147,2,2023-01-06,D039,R04,3018.2,2076.44,0
PL00000002,SJ0000002,P0044,1,2023-01-13,D020,R02,4049.03,2404.81,0
PL00000003,SJ0000002,P0146,1,2023-01-13,D020,R02,785.9,576.39,0
PL00000004,SJ0000002,P0155,1,2023-01-13,D020,R02,1396.53,866.67,0
PL00000005,SJ0000003,P0146,1,2023-01-21,D028,R03,785.9,576.39,0
PL00000006,SJ0000003,P0032,1,2023-01-21,D028,R03,2060.44,1219.75,0
PL00000007,SJ0000004,P0106,2,2023-01-21,D028,R03,7407.74,4614.16,0
PL00000008,SJ0000005,P0118,1,2023-01-22,D040,R03,3606.66,2538.14,0
PL00000009,SJ0000005,P0083,3,2023-01-22,D040,R03,8809.89,6863.79,0
PL00000010,SJ0000006,P0026,1,2023-01-22,D031,R04,2035.71,1416.95,0
PL00000011,SJ0000007,P0186,1,2023-01-23,D019,R03,2435.39,1609.92,0
PL00000012,SJ0000007,P0167,1,2023-01-23,D019,R03,1089.7,747.09,0
PL00000013,SJ0000007,P0027,1,2023-01-23,D019,R03,1591.94,979.67,0
PL00000014,SJ0000009,P0192,1,2023-01-25,D012,R06,3359.83,2495.45,0
PL00000015,SJ0000009,P0091,3,2023-01-25,D012,R06,13470.0,8233.53,0
PL00000016,SJ0000009,P0128,2,2023-01-25,D012,R06,9456.22,5778.66,0
PL00000017,SJ0000009,P0066,1,2023-01-25,D012,R06,3853.91,2883.23,0
PL00000018,SJ0000010,P0071,1,2023-02-03,D022,R01,1520.22,991.6,0
PL00000019,SJ0000010,P0125,1,2023-02-03,D022,R01,1108.48,720.58,0
PL00000020,SJ0000010,P0071,1,2023-02-03,D022,R01,1520.22,991.6,0
PL00000021,SJ0000010,P0074,1,2023-02-03,D022,R01,49375.39,32571.83,0
PL00000022,SJ0000010,P0074,1,2023-02-03,D022,R01,49375.39,32571.83,0
PL00000023,SJ0000011,P0091,4,2023-02-05,D040,R03,17960.0,10978.04,0
PL00000024,SJ0000011,P0091,1,2023-02-05,D040,R03,4490.0,2744.51,0
PL00000025,SJ0000011,P0159,1,2023-02-05,D040,R03,3826.77,2884.34,0
PL00000026,SJ0000012,P0200,1,2023-02-05,D028,R03,14509.07,9621.21,0
PL00000027,SJ0000012,P0200,1,2023-02-05,D028,R03,14509.07,9621.21,0
PL00000028,SJ0000012,P0067,1,2023-02-05,D028,R03,19877.58,14079.65,0
PL00000029,SJ0000013,P0157,1,2023-02-06,D027,R02,47625.26,33245.59,1
PL00000030,SJ0000013,P0178,1,2023-02-06,D027,R02,45625.2,27853.35,0
PL00000031,SJ0000013,P0178,1,2023-02-06,D027,R02,45625.2,27853.35,0
PL00000032,SJ0000013,P0178,1,2023-02-06,D027,R02,45625.2,27853.35,0
PL00000033,SJ0000014,P0071,1,2023-02-06,D009,R04,1520.22,991.6,0
PL00000034,SJ0000014,P0116,1,2023-02-06,D009,R04,4171.65,2499.21,0
PL00000035,SJ0000014,P0166,2,2023-02-06,D009,R04,7795.64,4885.14,0
PL00000036,SJ0000015,P0173,1,2023-02-06,D023,R02,1850.62,1130.11,0
PL00000037,SJ0000015,P0058,3,2023-02-06,D023,R02,5957.37,4434.96,0
PL00000038,SJ0000016,P0061,1,2023-02-07,D022,R01,18150.04,10857.71,0
PL00000039,SJ0000017,P0109,1,2023-02-08,D010,R04,12895.31,9718.8,0
PL00000040,SJ0000017,P0108,1,2023-02-08,D010,R04,14017.14,8845.88,0
PL00000041,SJ0000017,P0108,1,2023-02-08,D010,R04,14017.14,8845.88,0
PL00000042,SJ0000017,P0001,2,2023-02-08,D010,R04,6640.14,4257.24,0
PL00000043,SJ0000017,P0085,1,2023-02-08,D010,R04,31483.94,20605.18,0
PL00000044,SJ0000018,P0144,1,2023-02-08,D031,R04,4116.79,2984.11,0
PL00000045,SJ0000018,P0055,1,2023-02-08,D031,R04,2217.95,1635.41,0
PL00000046,SJ0000019,P0068,1,2023-02-09,D008,R05,1259.73,847.55,0
PL00000047,SJ0000019,P0097,3,2023-02-09,D008,R05,11944.23,7137.54,0
PL00000048,SJ0000020,P0167,1,2023-02-09,D008,R05,1089.7,747.09,0
PL00000049,SJ0000021,P0177,1,2023-02-11,D019,R03,29475.77,23408.69,1
PL00000050,SJ0000021,P0020,1,2023-02-11,D019,R03,20797.7,16055.8,0
PL00000051,SJ0000021,P0020,1,2023-02-11,D019,R03,20797.7,16055.8,0
PL00000052,SJ0000022,P0100,1,2023-02-12,D039,R04,1431.0,900.65,0
PL00000053,SJ0000022,P0171,1,2023-02-12,D039,R04,1279.15,859.45,0
PL00000054,SJ0000022,P0100,1,2023-02-12,D039,R04,1431.0,900.65,0
PL00000055,SJ0000023,P0046,1,2023-02-12,D016,R02,4402.0,3103.78,0
PL00000056,SJ0000023,P0011,1,2023-02-12,D016,R02,1492.59,1020.27,0
PL00000057,SJ0000024,P0085,1,2023-02-12,D024,R02,31483.94,20605.18,0
PL00000058,SJ0000024,P0147,1,2023-02-12,D024,R02,1509.1,1038.22,0
PL00000059,SJ0000024,P0184,3,2023-02-12,D024,R02,4662.39,3611.43,1
PL00000060,SJ0000025,P0050,1,2023-02-13,D032,R01,2587.07,1614.41,0
PL00000061,SJ0000025,P0170,1,2023-02-13,D032,R01,4143.26,2498.56,0
PL00000062,SJ0000025,P0075,2,2023-02-13,D032,R01,8632.14,6331.72,0
PL00000063,SJ0000026,P0070,2,2023-02-14,D005,R01,5887.88,3934.14,0
PL00000064,SJ0000026,P0186,1,2023-02-14,D005,R01,2435.39,1609.92,0
PL00000065,SJ0000027,P0163,2,2023-02-14,D032,R01,4192.46,3040.02,0
PL00000066,SJ0000027,P0163,1,2023-02-14,D032,R01,2096.23,1520.01,0
PL00000067,SJ0000028,P0018,1,2023-02-14,D008,R05,1216.32,744.02,0
PL00000068,SJ0000028,P0048,1,2023-02-14,D008,R05,20555.96,12683.3,0
PL00000069,SJ0000029,P0100,2,2023-02-15,D010,R04,2862.0,1801.3,0
PL00000070,SJ0000030,P0041,1,2023-02-17,D023,R02,67102.43,48713.78,1
PL00000071,SJ0000030,P0130,1,2023-02-17,D023,R02,70841.75,48900.35,0
PL00000072,SJ0000031,P0068,1,2023-02-17,D023,R02,1259.73,847.55,0
PL00000073,SJ0000031,P0038,3,2023-02-17,D023,R02,7817.58,5680.53,0
PL00000074,SJ0000032,P0011,1,2023-02-20,D008,R05,1492.59,1020.27,0
PL00000075,SJ0000032,P0015,1,2023-02-20,D008,R05,1035.19,696.63,0
PL00000076,SJ0000032,P0011,1,2023-02-20,D008,R05,1492.59,1020.27,0
PL00000077,SJ0000033,P0004,1,2023-02-21,D020,R02,1204.38,890.29,0
PL00000078,SJ0000033,P0198,1,2023-02-21,D020,R02,38864.34,30956.96,1
