service_job_id,machine_id,service_date,dealer_id,model_id,job_type,failure_code,downtime_days,labor_hours,service_cost_labor_inr,is_warranty,resolution_status
SJ0000001,MC01292,2023-01-06,D039,M03,Breakdown,F009,2,3.4,4760,1,Repeat
SJ0000002,MC01173,2023-01-13,D020,M02,Breakdown,F010,2,3.6,5040,1,Fixed
SJ0000003,MC00900,2023-01-21,D028,M02,Preventive,,1,2.0,2600,1,Fixed
SJ0000004,MC00900,2023-01-21,D028,M02,Inspection,,0,2.5,3250,1,Fixed
SJ0000005,MC00800,2023-01-22,D040,M01,Breakdown,F010,1,4.3,6450,1,Fixed
SJ0000006,MC01069,2023-01-22,D031,M03,Breakdown,F010,1,3.7,4810,1,Fixed
SJ0000007,MC00772,2023-01-23,D019,M05,Preventive,,1,2.4,3600,1,Fixed
SJ0000008,MC00772,2023-01-23,D019,M05,Inspection,,0,1.8,2700,1,Fixed
SJ0000009,MC01235,2023-01-25,D012,M06,Breakdown,F008,5,4.7,6110,1,Fixed
SJ0000010,MC01486,2023-02-03,D022,M01,Breakdown,F006,5,4.3,6020,1,Repeat
SJ0000011,MC00272,2023-02-05,D040,M06,Breakdown,F010,1,3.2,4800,1,Fixed
SJ0000012,MC00303,2023-02-05,D028,M01,Breakdown,F003,1,4.2,5460,1,Fixed
SJ0000013,MC00901,2023-02-06,D027,M02,Breakdown,F006,3,8.1,12150,1,Repeat
SJ0000014,MC01165,2023-02-06,D009,M01,Breakdown,F009,3,1.7,2380,1,Fixed
SJ0000015,MC01364,2023-02-06,D023,M01,Breakdown,F009,3,2.8,3640,1,Fixed
SJ0000016,MC01264,2023-02-07,D022,M02,Breakdown,F003,1,2.9,4060,1,Fixed
SJ0000017,MC00465,2023-02-08,D010,M03,Breakdown,F001,2,3.1,4650,1,Fixed
SJ0000018,MC01097,2023-02-08,D031,M04,Breakdown,F010,3,3.5,4550,1,Fixed
SJ0000019,MC00369,2023-02-09,D008,M05,Preventive,,0,1.0,1400,1,Fixed
SJ0000020,MC00369,2023-02-09,D008,M05,Inspection,,0,0.8,1120,1,Fixed
SJ0000021,MC00104,2023-02-11,D019,M01,Breakdown,F001,3,6.2,9300,1,Fixed
SJ0000022,MC00698,2023-02-12,D039,M03,Breakdown,F009,1,2.7,3780,1,Fixed
SJ0000023,MC00844,2023-02-12,D016,M05,Breakdown,F009,3,2.2,2860,1,Fixed
SJ0000024,MC01025,2023-02-12,D024,M03,Breakdown,F001,3,1.6,2240,1,Repeat
SJ0000025,MC00869,2023-02-13,D032,M01,Breakdown,F009,2,1.1,1650,1,Repeat
SJ0000026,MC00415,2023-02-14,D005,M05,Preventive,,1,4.0,5600,1,Fixed
SJ0000027,MC00869,2023-02-14,D032,M01,Breakdown,F010,1,2.2,3300,1,Fixed
SJ0000028,MC01451,2023-02-14,D008,M06,Breakdown,F003,1,4.1,5740,1,Fixed
SJ0000029,MC00465,2023-02-15,D010,M03,Breakdown,F003,2,1.0,1500,1,Fixed
SJ0000030,MC00542,2023-02-17,D023,M03,Breakdown,F006,4,3.2,4160,1,Fixed
SJ0000031,MC00829,2023-02-17,D023,M05,Breakdown,F010,1,3.9,5070,1,Fixed
SJ0000032,MC00369,2023-02-20,D008,M05,Preventive,,0,3.4,4760,1,Fixed
SJ0000033,MC00845,2023-02-21,D020,M04,Breakdown,F006,2,6.6,9240,1,Fixed
SJ0000034,MC01292,2023-02-21,D039,M03,Breakdown,F008,6,8.9,12460,1,Fixed
SJ0000035,MC01134,2023-02-22,D024,M02,Breakdown,F006,6,5.3,7420,1,Fixed
SJ0000036,MC01364,2023-02-22,D023,M01,Breakdown,F010,1,2.6,3380,1,Fixed
SJ0000037,MC00429,2023-02-23,D001,M01,Breakdown,F003,1,5.1,7650,1,Fixed
SJ0000038,MC00056,2023-02-24,D035,M04,Breakdown,F001,4,4.5,6300,1,Fixed
SJ0000039,MC01069,2023-02-24,D031,M03,Breakdown,F009,3,3.1,4030,1,Repeat
SJ0000040,MC01165,2023-02-24,D009,M01,Breakdown,F001,3,6.1,8540,1,Fixed
SJ0000041,MC01461,2023-02-25,D034,M03,Preventive,,1,2.1,2730,1,Fixed
SJ0000042,MC00352,2023-02-27,D003,M04,Preventive,,0,1.0,1500,1,Fixed
SJ0000043,MC00897,2023-02-27,D038,M04,Breakdown,F006,3,7.9,11850,1,Fixed
SJ0000044,MC00932,2023-02-28,D021,M04,Inspection,,0,1.5,2100,1,Fixed
SJ0000045,MC00845,2023-03-03,D020,M04,Breakdown,F003,1,3.6,5040,1,Fixed
SJ0000046,MC00847,2023-03-03,D013,M01,Preventive,,1,4.1,5330,1,Fixed
SJ0000047,MC00056,2023-03-06,D035,M04,Breakdown,F009,2,2.6,3640,1,Fixed
SJ0000048,MC00727,2023-03-07,D004,M06,Breakdown,F010,1,2.0,2600,1,Fixed
SJ0000049,MC01268,2023-03-07,D022,M03,Breakdown,F008,7,6.3,8820,1,Fixed
SJ0000050,MC00698,2023-03-08,D039,M03,Breakdown,F003,3,5.7,7980,1,Fixed
SJ0000051,MC00246,2023-03-09,D011,M03,Breakdown,F003,3,2.2,2860,1,Fixed
SJ0000052,MC01119,2023-03-10,D001,M05,Breakdown,F010,1,2.3,3450,1,Fixed
SJ0000053,MC01213,2023-03-10,D039,M01,Breakdown,F009,5,3.0,4200,1,Repeat
SJ0000054,MC00069,2023-03-13,D028,M02,Breakdown,F009,3,3.9,5070,1,Fixed
SJ0000055,MC01235,2023-03-14,D012,M06,Breakdown,F001,2,4.9,6370,1,Fixed
SJ0000056,MC01097,2023-03-15,D031,M04,Breakdown,F009,3,2.6,3380,1,Fixed
SJ0000057,MC01486,2023-03-16,D022,M01,Breakdown,F009,1,4.1,5740,1,Fixed
SJ0000058,MC00001,2023-03-17,D040,M02,Breakdown,F010,3,3.1,4650,1,Fixed
SJ0000059,MC00886,2023-03-17,D040,M02,Breakdown,F008,5,8.1,12150,1,Fixed
SJ0000060,MC01364,2023-03-17,D023,M01,Breakdown,F009,4,1.8,2340,1,Repeat
SJ0000061,MC00901,2023-03-18,D027,M02,Breakdown,F009,3,2.1,3150,1,Fixed
SJ0000062,MC01097,2023-03-18,D031,M04,Breakdown,F009,5,4.2,5460,1,Fixed
SJ0000063,MC01292,2023-03-18,D039,M03,Breakdown,F009,5,5.1,7140,1,Repeat
SJ0000064,MC00540,2023-03-21,D007,M03,Preventive,,0,1.0,1400,1,Fixed
SJ0000065,MC01277,2023-03-21,D029,M02,Breakdown,F010,3,2.1,3150,1,Fixed
SJ0000066,MC00829,2023-03-22,D023,M05,Breakdown,F010,1,1.2,1560,1,Fixed
SJ0000067,MC00869,2023-03-22,D032,M01,Preventive,,0,1.1,1650,1,Fixed
SJ0000068,MC00820,2023-03-24,D034,M02,Breakdown,F003,1,5.0,6500,1,Fixed
SJ0000069,MC00829,2023-03-24,D023,M05,Breakdown,F009,1,4.2,5460,1,Fixed
SJ0000070,MC01468,2023-03-24,D003,M06,Breakdown,F003,1,3.3,4950,1,Fixed
SJ0000071,MC00303,2023-03-27,D028,M01,Breakdown,F010,1,1.1,1430,1,Repeat
SJ0000072,MC01054,2023-03-27,D021,M04,Breakdown,F001,1,4.7,6580,1,Fixed
SJ0000073,MC00104,2023-03-28,D019,M01,Breakdown,F009,4,2.4,3600,1,Fixed
SJ0000074,MC01287,2023-03-29,D022,M01,Breakdown,F010,1,1.7,2380,1,Fixed
SJ0000075,MC00465,2023-03-31,D010,M03,Breakdown,F010,1,3.3,4950,1,Fixed
SJ0000076,MC00542,2023-03-31,D023,M03,Breakdown,F009,2,5.1,6630,1,Fixed
SJ0000077,MC01134,2023-03-31,D024,M02,Breakdown,F009,1,3.3,4620,1,Fixed
SJ0000078,MC00056,2023-04-01,D035,M04,Breakdown,F003,2,2.1,2940,1,Fixed
SJ0000079,MC00001,2023-04-03,D040,M02,Breakdown,F009,1,2.1,3150,1,Fixed
SJ0000080,MC00387,2023-04-03,D014,M02,Breakdown,F003,1,4.5,5850,1,Fixed
SJ0000081,MC00246,2023-04-05,D011,M03,Breakdown,F003,2,1.3,1690,1,Repeat
SJ0000082,MC01213,2023-04-05,D039,M01,Breakdown,F009,2,5.5,7700,1,Fixed
SJ0000083,MC00250,2023-04-06,D006,M01,Breakdown,F003,2,2.6,3640,1,Fixed
SJ0000084,MC01235,2023-04-06,D012,M06,Preventive,,0,3.0,3900,1,Fixed
SJ0000085,MC01235,2023-04-06,D012,M06,Inspection,,0,2.3,2990,1,Fixed
SJ0000086,MC00056,2023-04-07,D035,M04,Breakdown,F009,1,4.6,6440,1,Repeat
SJ0000087,MC00397,2023-04-07,D031,M05,Preventive,,0,4.6,5980,1,Fixed
SJ0000088,MC01097,2023-04-07,D031,M04,Preventive,,1,3.2,4160,1,Fixed
SJ0000089,MC01097,2023-04-07,D031,M04,Inspection,,0,3.2,4160,1,Fixed
SJ0000090,MC01341,2023-04-07,D023,M05,Breakdown,F010,3,4.0,5200,1,Fixed
SJ0000091,MC01359,2023-04-07,D021,M01,Breakdown,F009,2,5.3,7420,1,Fixed
SJ0000092,MC01094,2023-04-08,D015,M01,Breakdown,F009,1,3.1,4340,1,Fixed
SJ0000093,MC01108,2023-04-09,D005,M01,Breakdown,F009,3,4.7,6580,1,Fixed
SJ0000094,MC01225,2023-04-09,D021,M01,Preventive,,0,3.1,4340,1,Fixed
SJ0000095,MC00376,2023-04-10,D018,M03,Breakdown,F006,4,3.4,5100,1,Fixed
SJ0000096,MC00246,2023-04-11,D011,M03,Preventive,,1,3.2,4160,1,Fixed
SJ0000097,MC00397,2023-04-11,D031,M05,Breakdown,F008,5,5.4,7020,1,Fixed
SJ0000098,MC00501,2023-04-11,D026,M01,Breakdown,F010,1,3.0,4200,1,Fixed
SJ0000099,MC00669,2023-04-11,D025,M06,Breakdown,F010,1,2.4,3360,1,Fixed
SJ0000100,MC01349,2023-04-11,D007,M01,Breakdown,F001,2,3.5,4900,1,Fixed
SJ0000101,MC01341,2023-04-12,D023,M05,Breakdown,F003,1,3.8,4940,1,Fixed
SJ0000102,MC00886,2023-04-13,D040,M02,Breakdown,F010,1,3.9,5850,1,Fixed
SJ0000103,MC00898,2023-04-13,D035,M05,Breakdown,F006,5,6.4,8960,1,Fixed
SJ0000104,MC00588,2023-04-15,D022,M05,Breakdown,F003,3,3.5,4900,1,Fixed
SJ0000105,MC01251,2023-04-15,D005,M03,Breakdown,F009,2,1.6,2240,1,Fixed
SJ0000106,MC00272,2023-04-17,D040,M06,Breakdown,F010,2,1.0,1500,1,Fixed
SJ0000107,MC01265,2023-04-17,D013,M03,Preventive,,0,2.4,3120,1,Fixed
SJ0000108,MC01265,2023-04-17,D013,M03,Inspection,,0,1.0,1300,1,Fixed
SJ0000109,MC00117,2023-04-18,D026,M04,Breakdown,F010,1,2.5,3500,1,Fixed
SJ0000110,MC00890,2023-04-18,D007,M04,Breakdown,F003,1,4.2,5880,1,Fixed
SJ0000111,MC01265,2023-04-18,D013,M03,Breakdown,F009,3,3.3,4290,1,Fixed
SJ0000112,MC00127,2023-04-19,D031,M02,Breakdown,F009,3,1.0,1300,1,Repeat
SJ0000113,MC00198,2023-04-19,D001,M05,Breakdown,F010,1,1.9,2850,1,Fixed
SJ0000114,MC00807,2023-04-19,D003,M03,Preventive,,0,4.8,7200,1,Fixed
SJ0000115,MC00900,2023-04-19,D028,M02,Breakdown,F001,4,4.8,6240,1,Fixed
SJ0000116,MC01037,2023-04-19,D033,M04,Breakdown,F003,1,4.3,6450,1,Fixed
SJ0000117,MC00408,2023-04-20,D025,M02,Breakdown,F008,6,5.1,7140,1,Fixed
SJ0000118,MC00516,2023-04-20,D022,M01,Breakdown,F009,3,4.1,5740,1,Fixed
SJ0000119,MC01025,2023-04-20,D024,M03,Breakdown,F003,1,6.3,8820,1,Fixed
SJ0000120,MC00104,2023-04-21,D019,M01,Breakdown,F008,2,4.7,7050,1,Fixed
SJ0000121,MC00909,2023-04-21,D001,M01,Preventive,,0,2.2,3300,1,Fixed
SJ0000122,MC01444,2023-04-21,D006,M03,Breakdown,F010,2,2.2,3080,1,Fixed
SJ0000123,MC00673,2023-04-22,D009,M02,Breakdown,F009,1,2.2,3080,1,Fixed
SJ0000124,MC01034,2023-04-22,D028,M01,Preventive,,0,1.5,1950,1,Fixed
SJ0000125,MC00233,2023-04-23,D034,M03,Breakdown,F006,5,2.8,3640,1,Fixed
SJ0000126,MC00580,2023-04-23,D021,M04,Breakdown,F010,3,2.8,3920,1,Fixed
SJ0000127,MC00699,2023-04-23,D018,M01,Breakdown,F009,1,1.9,2850,1,Fixed
SJ0000128,MC00087,2023-04-24,D025,M06,Preventive,,0,3.7,5180,1,Fixed
SJ0000129,MC00087,2023-04-24,D025,M06,Inspection,,0,0.9,1260,1,Fixed
SJ0000130,MC00170,2023-04-24,D028,M01,Breakdown,F001,2,7.0,9100,1,Fixed
